"","Year","SalCat","Taxa2","CPUE","X2","Outflow"
"1",2000,"Fresh (<0.5ppt)","Acartia",2.10643122420907,60.3779797979798,34538.3131313131
"2",2000,"Fresh (<0.5ppt)","Bosmina",581.825826306956,60.3779797979798,34538.3131313131
"3",2000,"Fresh (<0.5ppt)","Daphnia sp.",534.851949281993,60.3779797979798,34538.3131313131
"4",2000,"Fresh (<0.5ppt)","Eurytemora",525.12134547175,60.3779797979798,34538.3131313131
"5",2000,"Fresh (<0.5ppt)","Harpacticoids",43.7535967188569,60.3779797979798,34538.3131313131
"6",2000,"Fresh (<0.5ppt)","Mysids",0.585911458333333,57.6334375,56394.375
"7",2000,"Fresh (<0.5ppt)","Pseudodiaptomus",1872.07078027271,60.3779797979798,34538.3131313131
"8",2000,"Fresh (<0.5ppt)","Sinocalanus",396.329671161621,60.3779797979798,34538.3131313131
"9",2000,"Low Salinity (0.5-6 ppt)","Acartia",253.807003493452,60.6632203389831,32078.7457627119
"10",2000,"Low Salinity (0.5-6 ppt)","Bosmina",1.3201795296914,60.6632203389831,32078.7457627119
"11",2000,"Low Salinity (0.5-6 ppt)","Daphnia sp.",18.8528872738966,60.6632203389831,32078.7457627119
"12",2000,"Low Salinity (0.5-6 ppt)","Eurytemora",5617.02373380681,60.6632203389831,32078.7457627119
"13",2000,"Low Salinity (0.5-6 ppt)","Harpacticoids",212.405513506226,60.6632203389831,32078.7457627119
"14",2000,"Low Salinity (0.5-6 ppt)","Mysids",1.10947916666667,58.90625,44664.5
"15",2000,"Low Salinity (0.5-6 ppt)","Pseudodiaptomus",1076.74906309432,60.6632203389831,32078.7457627119
"16",2000,"Low Salinity (0.5-6 ppt)","Sinocalanus",510.471785358937,60.6632203389831,32078.7457627119
"17",2000,"High Salinity (>6 ppt)","Acartia",5812.05690939413,62.52,26157.4761904762
"18",2000,"High Salinity (>6 ppt)","Bosmina",0,62.52,26157.4761904762
"19",2000,"High Salinity (>6 ppt)","Daphnia sp.",0,62.52,26157.4761904762
"20",2000,"High Salinity (>6 ppt)","Eurytemora",926.906379166278,62.52,26157.4761904762
"21",2000,"High Salinity (>6 ppt)","Harpacticoids",343.727332445876,62.52,26157.4761904762
"22",2000,"High Salinity (>6 ppt)","Mysids",2.71630952380952,63.31,23682.7142857143
"23",2000,"High Salinity (>6 ppt)","Pseudodiaptomus",20.4447675605748,62.52,26157.4761904762
"24",2000,"High Salinity (>6 ppt)","Sinocalanus",29.0005833106095,62.52,26157.4761904762
"25",2001,"Fresh (<0.5ppt)","Acartia",0.501969956078188,72.829649122807,10132.2923976608
"26",2001,"Fresh (<0.5ppt)","Bosmina",2876.8928780822,72.829649122807,10132.2923976608
"27",2001,"Fresh (<0.5ppt)","Daphnia sp.",851.421403594032,72.829649122807,10132.2923976608
"28",2001,"Fresh (<0.5ppt)","Eurytemora",1606.73113643078,72.829649122807,10132.2923976608
"29",2001,"Fresh (<0.5ppt)","Harpacticoids",40.3929780236165,72.829649122807,10132.2923976608
"30",2001,"Fresh (<0.5ppt)","Mysids",0.348990384615385,70.7673076923077,12516.4230769231
"31",2001,"Fresh (<0.5ppt)","Pseudodiaptomus",1017.2864228993,72.829649122807,10132.2923976608
"32",2001,"Fresh (<0.5ppt)","Sinocalanus",488.034479190651,72.829649122807,10132.2923976608
"33",2001,"Low Salinity (0.5-6 ppt)","Acartia",168.152204478836,73.9965,10400.8166666667
"34",2001,"Low Salinity (0.5-6 ppt)","Bosmina",6.46678993653132,73.9965,10400.8166666667
"35",2001,"Low Salinity (0.5-6 ppt)","Daphnia sp.",3.93642574659699,73.9965,10400.8166666667
"36",2001,"Low Salinity (0.5-6 ppt)","Eurytemora",494.561892618618,73.9965,10400.8166666667
"37",2001,"Low Salinity (0.5-6 ppt)","Harpacticoids",120.356412090311,73.9965,10400.8166666667
"38",2001,"Low Salinity (0.5-6 ppt)","Mysids",0.477604166666667,74.185,9618.625
"39",2001,"Low Salinity (0.5-6 ppt)","Pseudodiaptomus",278.86223142172,73.9965,10400.8166666667
"40",2001,"Low Salinity (0.5-6 ppt)","Sinocalanus",440.83306005208,73.9965,10400.8166666667
"41",2001,"High Salinity (>6 ppt)","Acartia",4281.17184320274,73.5866666666667,11871.7916666667
"42",2001,"High Salinity (>6 ppt)","Bosmina",4.14813170852147,73.5866666666667,11871.7916666667
"43",2001,"High Salinity (>6 ppt)","Daphnia sp.",0.418109695085425,73.5866666666667,11871.7916666667
"44",2001,"High Salinity (>6 ppt)","Eurytemora",299.6249780461,73.5866666666667,11871.7916666667
"45",2001,"High Salinity (>6 ppt)","Harpacticoids",205.676650137324,73.5866666666667,11871.7916666667
"46",2001,"High Salinity (>6 ppt)","Mysids",0.0473958333333333,72.34375,10070.75
"47",2001,"High Salinity (>6 ppt)","Pseudodiaptomus",17.264082744306,73.5866666666667,11871.7916666667
"48",2001,"High Salinity (>6 ppt)","Sinocalanus",20.3101826533121,73.5866666666667,11871.7916666667
"49",2002,"Fresh (<0.5ppt)","Acartia",3.49194402262008,73.0826490066225,12389.0264900662
"50",2002,"Fresh (<0.5ppt)","Bosmina",1784.44688699692,73.0826490066225,12389.0264900662
"51",2002,"Fresh (<0.5ppt)","Daphnia sp.",276.138704744708,73.0826490066225,12389.0264900662
"52",2002,"Fresh (<0.5ppt)","Eurytemora",1113.42116849892,73.0826490066225,12389.0264900662
"53",2002,"Fresh (<0.5ppt)","Harpacticoids",34.2847674031554,73.0826490066225,12389.0264900662
"54",2002,"Fresh (<0.5ppt)","Mysids",0.117878787878788,73.3104545454545,11757.5454545455
"55",2002,"Fresh (<0.5ppt)","Pseudodiaptomus",281.320422001852,73.0826490066225,12389.0264900662
"56",2002,"Fresh (<0.5ppt)","Sinocalanus",416.704679934651,73.0826490066225,12389.0264900662
"57",2002,"Low Salinity (0.5-6 ppt)","Acartia",41.4885820893363,73.2774226804124,12346.0618556701
"58",2002,"Low Salinity (0.5-6 ppt)","Bosmina",14.5724313316399,73.2774226804124,12346.0618556701
"59",2002,"Low Salinity (0.5-6 ppt)","Daphnia sp.",4.74563093483868,73.2774226804124,12346.0618556701
"60",2002,"Low Salinity (0.5-6 ppt)","Eurytemora",663.721520850959,73.2774226804124,12346.0618556701
"61",2002,"Low Salinity (0.5-6 ppt)","Harpacticoids",151.841445396071,73.2774226804124,12346.0618556701
"62",2002,"Low Salinity (0.5-6 ppt)","Mysids",0.822738095238095,73.3457142857143,13005.7142857143
"63",2002,"Low Salinity (0.5-6 ppt)","Pseudodiaptomus",21.5163708049425,73.2774226804124,12346.0618556701
"64",2002,"Low Salinity (0.5-6 ppt)","Sinocalanus",306.307255085794,73.2774226804124,12346.0618556701
"65",2002,"High Salinity (>6 ppt)","Acartia",2437.08065945515,73.5448717948718,12596.7692307692
"66",2002,"High Salinity (>6 ppt)","Bosmina",0,73.5448717948718,12596.7692307692
"67",2002,"High Salinity (>6 ppt)","Daphnia sp.",0,73.5448717948718,12596.7692307692
"68",2002,"High Salinity (>6 ppt)","Eurytemora",603.482141386527,73.5448717948718,12596.7692307692
"69",2002,"High Salinity (>6 ppt)","Harpacticoids",213.888978403583,73.5448717948718,12596.7692307692
"70",2002,"High Salinity (>6 ppt)","Mysids",0.130787037037037,73.4377777777778,14042.1111111111
"71",2002,"High Salinity (>6 ppt)","Pseudodiaptomus",44.3105126269565,73.5448717948718,12596.7692307692
"72",2002,"High Salinity (>6 ppt)","Sinocalanus",13.5373199965114,73.5448717948718,12596.7692307692
"73",2003,"Fresh (<0.5ppt)","Acartia",0.354499534041052,66.8563953488372,31385.0290697674
"74",2003,"Fresh (<0.5ppt)","Bosmina",1983.92299872023,66.8563953488372,31385.0290697674
"75",2003,"Fresh (<0.5ppt)","Daphnia sp.",354.407755333097,66.8563953488372,31385.0290697674
"76",2003,"Fresh (<0.5ppt)","Eurytemora",571.24562875281,66.8563953488372,31385.0290697674
"77",2003,"Fresh (<0.5ppt)","Harpacticoids",14.5537117994161,66.8563953488372,31385.0290697674
"78",2003,"Fresh (<0.5ppt)","Mysids",0.0579320987654321,66.9996296296296,31933.9259259259
"79",2003,"Fresh (<0.5ppt)","Pseudodiaptomus",226.777128888312,66.8563953488372,31385.0290697674
"80",2003,"Fresh (<0.5ppt)","Sinocalanus",393.226067959999,66.8563953488372,31385.0290697674
"81",2003,"Low Salinity (0.5-6 ppt)","Acartia",282.289628707201,68.4670967741935,21803.064516129
"82",2003,"Low Salinity (0.5-6 ppt)","Bosmina",126.040975116905,68.4670967741935,21803.064516129
"83",2003,"Low Salinity (0.5-6 ppt)","Daphnia sp.",27.0087206549604,68.4670967741935,21803.064516129
"84",2003,"Low Salinity (0.5-6 ppt)","Eurytemora",611.125782100855,68.4670967741935,21803.064516129
"85",2003,"Low Salinity (0.5-6 ppt)","Harpacticoids",75.2498124060574,68.4670967741935,21803.064516129
"86",2003,"Low Salinity (0.5-6 ppt)","Mysids",0.5305625,68.575,22046.05
"87",2003,"Low Salinity (0.5-6 ppt)","Pseudodiaptomus",360.764745574185,68.4670967741935,21803.064516129
"88",2003,"Low Salinity (0.5-6 ppt)","Sinocalanus",219.60705713473,68.4670967741935,21803.064516129
"89",2003,"High Salinity (>6 ppt)","Acartia",3937.85871684091,69.5834782608696,19810.4782608696
